省份,累计确诊,死亡,治愈,现有确诊,累计确诊增量,死亡增量,治愈增量,现有确诊增量
澳大利亚,322063,2202,237696,82165,10806,,,
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
圣皮埃尔,98,0,78,20,0,,,
百慕大,6014,106,5674,234,0,,,
英属维尔京群岛,3071,39,2649,383,0,,,
安圭拉,1646,5,1605,36,0,,,
格林纳达,5961,200,5681,80,0,,,
圣基茨和尼维斯,2848,28,2775,45,5,,,
特克斯和凯科斯群岛,3276,26,3107,143,41,,,
伯利兹,31503,592,30415,496,0,,,
多米尼克,6520,44,6173,303,0,,,
蒙特塞拉特,45,1,43,1,0,,,
海地,25974,766,23243,1965,0,,,
萨尔瓦多,121741,3820,107088,10833,0,,,
尼加拉瓜,17442,211,4225,13006,0,,,
巴巴多斯,27724,260,26494,970,44,,,
格陵兰岛,2306,0,2015,291,0,,,
巴哈马,23539,713,21745,1081,0,,,
瓜德罗普,56035,750,2250,53035,0,,,
开曼群岛,8386,11,4799,3576,0,,,
阿鲁巴,17896,181,16610,1105,148,,,
库拉索,19247,186,17550,1511,165,,,
圣卢西亚,13319,295,12829,195,27,,,
圣文森特和格林纳丁斯,5828,81,5151,596,0,,,
安提瓜和巴布达,4259,118,4060,81,0,,,
危地马拉,625257,16098,607951,1208,39,,,
特立尼达和多巴哥,90004,2793,70488,16723,465,,,
古巴,964857,8321,955927,609,0,,,
洪都拉斯,379276,10432,123783,245061,0,,,
圣马丁岛,4838,75,4627,136,0,,,
圣巴泰勒米岛,1621,6,462,1153,0,,,
牙买加,92789,2464,65182,25143,192,,,
巴拿马,488341,7418,473977,6946,563,,,
马提尼克,47300,769,104,46427,0,,,
哥斯达黎加,568860,7343,560239,1278,0,,,
多米尼加,414704,4238,407538,2928,339,,,
墨西哥,3951946,298819,3302873,350254,803,,,
加拿大,2035831,30184,1837063,168584,21390,,,
美国,53791024,839605,41203698,11747721,195659,,,
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
马尔维纳斯群岛,83,0,68,15,0,,,
圭亚那合作共和国,39119,1050,37349,720,21,,,
苏里南,51683,1187,49083,1413,15,,,
乌拉圭,407981,6165,397586,4230,282,,,
委内瑞拉,443612,5316,432297,5999,165,,,
玻利维亚,577808,19554,520884,37370,1355,,,
法属圭亚那,47332,337,11254,35741,0,,,
巴拉圭,465564,16607,447701,1256,105,,,
哥伦比亚,5127971,129798,4961099,37074,3022,,,
秘鲁,2281362,202550,1720665,358147,492,,,
阿根廷,5480305,117066,5270844,92395,7623,,,
智利,1801033,39056,1718021,43956,753,,,
厄瓜多尔,542341,33649,443880,64812,0,,,
巴西,22246276,618575,21414318,213383,4810,,,
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
钻石公主号邮轮,712,13,699,0,0,,,
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
土耳其,9333223,81733,8965748,285742,20138,,,
伊朗,6186729,131434,6028495,26800,1967,,,
荷兰,3076442,20728,2556718,498996,11432,,,
比利时,2052871,28218,1673484,351169,0,,,
西班牙,5932626,89139,5031961,811526,0,,,
英国,12209991,148003,10126656,1935332,0,,,
意大利,5678112,136753,5003855,537504,24882,,,
德国,7028368,111304,6217800,699264,14900,,,
法国,9146451,122898,7864693,1158860,27697,,,
美国,53791024,839605,41203698,11747721,195659,,,
