刚果（金）,72349,1205,50930,20214,2290,,,
布基纳法索,17632,318,16619,695,0,,,
多哥,28925,246,26091,2588,236,,,
喀麦隆,109367,1851,106050,1466,0,,,
南非,3424534,90854,3134314,199366,3778,,,
突尼斯,724092,25548,695626,2918,329,,,
塞内加尔,74516,1890,72369,257,47,,,
摩洛哥,957594,14837,938479,4278,291,,,
尼日利亚,239019,3027,213180,22812,859,,,
埃及,382194,21639,317745,42810,851,,,
阿尔及利亚,217265,6254,149413,61598,293,,,
汤加王国,1,0,1,0,0,,,
帕劳共和国,10,0,8,2,2,,,
密克罗尼西亚,1,0,1,0,0,,,
萨摩亚独立国,3,0,3,0,0,,,
瓦努阿图共和国,7,1,6,0,0,,,
马绍尔群岛,4,0,4,0,0,,,
瓦利斯和富图纳群岛,454,7,438,9,0,,,
所罗门群岛,22,0,20,2,0,,,
巴布亚新几内亚,36130,590,35405,135,20,,,
新喀里多尼亚,12690,281,12103,306,44,,,
斐济,53023,697,51223,1103,0,,,
法属波利尼西亚,46382,636,33500,12246,6,,,
新西兰,13932,50,12548,1334,33,,,
澳大利亚,323278,2202,239782,81294,11192,,,
圣皮埃尔,98,0,78,20,0,,,
百慕大,6014,106,5674,234,0,,,
英属维尔京群岛,3071,39,2649,383,55,,,
安圭拉,1646,5,1605,36,0,,,
格林纳达,5961,200,5681,80,5,,,
圣基茨和尼维斯,2858,28,2776,54,0,,,
特克斯和凯科斯群岛,3276,26,3107,143,0,,,
伯利兹,31503,592,30415,496,0,,,
多米尼克,6520,44,6173,303,0,,,
蒙特塞拉特,45,1,43,1,0,,,
海地,25974,766,23243,1965,24,,,
萨尔瓦多,121741,3820,107088,10833,0,,,
尼加拉瓜,17442,211,4225,13006,0,,,
巴巴多斯,27836,260,26591,985,51,,,
格陵兰岛,2437,0,2161,276,57,,,
巴哈马,23539,713,21745,1081,0,,,
瓜德罗普,56035,750,2250,53035,0,,,
开曼群岛,8386,11,4799,3576,0,,,
阿鲁巴,18350,181,16663,1506,248,,,
库拉索,19645,186,17600,1859,198,,,
圣卢西亚,13357,295,12853,209,55,,,
圣文森特和格林纳丁斯,5843,81,5204,558,0,,,
安提瓜和巴布达,4259,118,4060,81,23,,,
危地马拉,625854,16099,608103,1652,91,,,
特立尼达和多巴哥,90364,2809,71052,16503,175,,,
古巴,965002,8321,956001,680,273,,,
洪都拉斯,379276,10432,123783,245061,203,,,
圣马丁岛,4838,75,4627,136,64,,,
圣巴泰勒米岛,1621,6,462,1153,0,,,
牙买加,92950,2464,65332,25154,84,,,
巴拿马,488341,7418,473977,6946,574,,,
马提尼克,47300,769,104,46427,0,,,
哥斯达黎加,570556,7353,560709,2494,0,,,
多米尼加,415359,4238,407706,3415,478,,,
墨西哥,3951946,298819,3302873,350254,943,,,
加拿大,2057489,30199,1842225,185065,54923,,,
美国,54136108,841926,41284331,12009851,569428,,,
马尔维纳斯群岛,83,0,68,15,0,,,
圭亚那合作共和国,39119,1050,37349,720,12,,,
苏里南,51683,1187,49083,1413,90,,,
乌拉圭,407981,6165,397586,4230,600,,,
委内瑞拉,443612,5316,432297,5999,280,,,
玻利维亚,580690,19576,522613,38501,1206,,,
法属圭亚那,47631,338,11254,36039,103,,,
巴拉圭,465564,16607,447701,1256,226,,,
哥伦比亚,5132277,129833,4963070,39374,3281,,,
秘鲁,2281362,202550,1720665,358147,2063,,,
阿根廷,5514207,117085,5277510,119612,20263,,,
智利,1801795,39059,1720349,42387,762,,,
厄瓜多尔,542960,33650,443880,65430,2219,,,
巴西,22254706,618723,21414318,221665,6840,,,
钻石公主号邮轮,712,13,699,0,0,,,
土耳其,9365399,81917,8988852,294630,26099,,,
伊朗,6188857,131474,6030632,26751,2128,,,
荷兰,3085553,20803,2578851,485899,9111,,,
比利时,2052871,28218,1673484,351169,14760,,,
西班牙,6032297,89253,5041873,901171,214619,,,
英国,12338676,148021,10179898,2010757,318699,,,
意大利,5756412,136955,5020601,598856,30799,,,
德国,7059346,111752,6217800,729794,20688,,,
法国,9326258,123188,7926033,1277037,30383,,,
美国,54136108,841926,41284331,12009851,569428,,,
